test_type,component_name,file_size,file_name,false_rate,total_nb_of_tested,ers_score,control_attempts
k2_controller,rename,100_200,11_100_200,0.0,15.5,0.97,1.5
k2_controller,rename,100_200,12_100_200,0.0,15.0,0.97,2.33
k2_controller,rename,100_200,13_100_200,0.0,4.0,0.94,1.0
k2_controller,rename,100_200,14_100_200,0.0,13.0,0.96,2.0
k2_controller,rename,100_200,15_100_200,0.0,11.0,0.96,1.0
k2_controller,rename,200_300,16_200_300,0.0,9.0,0.96,1.0
k2_controller,rename,200_300,17_200_300,0.0,8.33,0.96,1.0
k2_controller,rename,200_300,18_200_300,0.0,9.0,0.96,1.0
k2_controller,rename,200_300,19_200_300,0.0,5.0,0.94,1.0
k2_controller,rename,200_300,20_200_300,0.0,8.0,0.95,1.0
k2_controller,rename,300_400,21_300_400,,,,
k2_controller,rename,300_400,22_300_400,0.0,10.0,0.96,2.5
k2_controller,rename,300_400,23_300_400,0.0,7.0,0.95,1.0
k2_controller,rename,300_400,24_300_400,0.0,3.0,0.94,1.0
k2_controller,rename,300_400,25_300_400,0.0,3.0,0.94,1.0
k2_controller,rename,50_100,10_50_100,0.0,4.0,0.94,1.0
k2_controller,rename,50_100,6_50_100,0.0,7.0,0.95,1.0
k2_controller,rename,50_100,7_50_100,0.0,5.0,0.94,1.0
k2_controller,rename,50_100,8_50_100,0.0,9.0,0.96,1.67
k2_controller,rename,50_100,9_50_100,0.0,4.0,0.94,1.0
